archive_id,timestamp,url,page_title,status_code,content_type,file_size_bytes,is_processed,checksum
ARC-2026-001,2026-03-01T08:14:22Z,https://example.org/archive/matarranya_overview,Historical Survey of Arens de Lledo,200,text/html,48520,true,a1b2c3d4e5f67890
ARC-2026-002,2026-03-01T08:15:05Z,https://example.org/archive/lledo_parish,Lledo Parish Records: 1890-1910,200,text/html,102400,true,b2c3d4e5f67890a1
ARC-2026-003,2026-03-01T08:16:40Z,https://example.org/archive/algars_hydrology,Algars Basin Hydrology Report,200,application/pdf,2458900,false,c3d4e5f67890a1b2
ARC-2026-004,2026-03-01T08:18:11Z,https://example.org/archive/calaceite_trade,Calaceite Trade Logs & Market Data,404,text/html,1240,false,d4e5f67890a1b2c3
ARC-2026-005,2026-03-01T08:20:00Z,https://example.org/archive/valderrobres_gate,Valderrobres Archival Imagery,200,image/jpeg,854120,true,e5f67890a1b2c3d4
ARC-2026-006,2026-03-01T08:22:19Z,https://example.org/archive/beceite_maps,Topographic Maps of Beceite Pass,200,image/png,3120400,true,f67890a1b2c3d4e5
ARC-2026-007,2026-03-01T08:25:33Z,https://example.org/archive/cretas_registry,Cretas Municipal Registry Excerpts,500,text/html,0,false,0000000000000000
ARC-2026-008,2026-03-01T08:28:45Z,https://example.org/archive/queretes_culture,Local Cultural Heritage Notes,200,text/html,34100,true,7890a1b2c3d4e5f6
ARC-2026-009,2026-03-01T08:31:02Z,https://example.org/archive/fresneda_monastery,Convent of San Francisco Documentation,200,text/html,61200,true,890a1b2c3d4e5f67
ARC-2026-010,2026-03-01T08:33:50Z,https://example.org/archive/ronda_algars,Algars River Navigation & Fishery Logs,301,text/html,450,true,90a1b2c3d4e5f678
ARC-2026-011,2026-03-01T08:36:12Z,https://example.org/archive/mazaleon_silo,Protohistoric Grain Storage Survey,200,text/html,88900,false,0a1b2c3d4e5f6789
ARC-2026-012,2026-03-01T08:40:00Z,https://example.org/archive/fórnoles_births,Fórnoles Demographic Microdata,200,text/csv,1540300,true,a2b3c4d5e6f78901
ARC-2026-013,2026-03-01T08:42:15Z,https://example.org/archive/la_portellada,Portellada Waterfall Environmental Impact,200,application/pdf,4120000,false,b3c4d5e6f78901a2
ARC-2026-014,2026-03-01T08:45:29Z,https://example.org/archive/torre_aragon,Watchtower Defensive Network Topology,200,text/html,29400,true,c4d5e6f78901a2b3
ARC-2026-015,2026-03-01T08:49:01Z,https://example.org/archive/valjunquera_oil,Olive Oil Co-op Export Manifests,403,text/html,2100,false,d5e6f78901a2b3c4
ARC-2026-016,2026-03-01T08:52:44Z,https://example.org/archive/rafales_castle,Ráfales Fortification Laser Scan Data,200,application/zip,18450900,true,e6f78901a2b3c4d5
